2023-11-14-bithumb-btc-orderbook
   ,  price  ,quantity  ,type,         timestamp
0,49448000,0.2124,0,2023-11-13 22:23:46
1,49447000,0.0053,0,2023-11-13 22:23:46
2,49446000,0.0042,0,2023-11-13 22:23:46
3,49445000,0.0051,0,2023-11-13 22:23:46
4,49444000,0.0050,0,2023-11-13 22:23:46
0,49450000,0.0046,1,2023-11-13 22:23:46
1,49451000,0.0050,1,2023-11-13 22:23:46
2,49452000,0.0083,1,2023-11-13 22:23:46
3,49453000,0.0056,1,2023-11-13 22:23:46
4,49454000,0.0057,1,2023-11-13 22:23:46
   ,   price , quantity ,e  ,          timestamp
0,49451000,0.0034,0,2023-11-13 22:23:51
1,49449000,0.0055,0,2023-11-13 22:23:51
2,49448000,0.0059,0,2023-11-13 22:23:51
3,49447000,0.0053,0,2023-11-13 22:23:51
4,49446000,0.0042,0,2023-11-13 22:23:51
0,49452000,0.0013,1,2023-11-13 22:23:51
1,49453000,0.0056,1,2023-11-13 22:23:51
2,49454000,0.0057,1,2023-11-13 22:23:51
3,49455000,0.0041,1,2023-11-13 22:23:51
4,49456000,0.0216,1,2023-11-13 22:23:51
   ,   price , quantity ,e  ,          timestamp
0,49476000,0.2158,0,2023-11-13 22:23:56
1,49475000,0.0547,0,2023-11-13 22:23:56
2,49474000,0.0883,0,2023-11-13 22:23:56
3,49473000,0.0001,0,2023-11-13 22:23:56
4,49472000,0.0041,0,2023-11-13 22:23:56
0,49478000,0.0010,1,2023-11-13 22:23:56
1,49479000,0.0137,1,2023-11-13 22:23:56
2,49480000,0.0056,1,2023-11-13 22:23:56
3,49481000,0.0050,1,2023-11-13 22:23:56
4,49482000,0.0054,1,2023-11-13 22:23:56
   ,   price , quantity ,e  ,          timestamp
0,49489000,0.0863,0,2023-11-13 22:24:01
1,49487000,2.6117,0,2023-11-13 22:24:01
2,49486000,0.3527,0,2023-11-13 22:24:01
3,49485000,0.0990,0,2023-11-13 22:24:01
4,49484000,0.0731,0,2023-11-13 22:24:01
0,49494000,0.0019,1,2023-11-13 22:24:01
1,49495000,0.0060,1,2023-11-13 22:24:01
2,49496000,0.0075,1,2023-11-13 22:24:01
3,49500000,0.0083,1,2023-11-13 22:24:01
4,49501000,0.0010,1,2023-11-13 22:24:01
   ,   price , quantity ,e  ,          timestamp
0,49499000,0.2647,0,2023-11-13 22:24:06
1,49498000,0.2046,0,2023-11-13 22:24:06
2,49497000,0.0928,0,2023-11-13 22:24:06
3,49496000,0.0055,0,2023-11-13 22:24:06
4,49495000,0.0912,0,2023-11-13 22:24:06
0,49501000,0.0071,1,2023-11-13 22:24:06
1,49502000,0.0051,1,2023-11-13 22:24:06
2,49503000,0.0050,1,2023-11-13 22:24:06
3,49504000,0.0043,1,2023-11-13 22:24:06
4,49505000,0.0047,1,2023-11-13 22:24:06
   ,   price , quantity ,e  ,          timestamp
0,49491000,0.1966,0,2023-11-13 22:24:11
1,49490000,0.0053,0,2023-11-13 22:24:11
2,49489000,0.0527,0,2023-11-13 22:24:11
3,49488000,0.0047,0,2023-11-13 22:24:11
4,49487000,0.0055,0,2023-11-13 22:24:11
0,49494000,0.0057,1,2023-11-13 22:24:11
1,49495000,0.0050,1,2023-11-13 22:24:11
2,49496000,0.0054,1,2023-11-13 22:24:11
3,49497000,0.0055,1,2023-11-13 22:24:11
4,49498000,0.0056,1,2023-11-13 22:24:11
   ,   price , quantity ,e  ,          timestamp
0,49493000,0.0042,0,2023-11-13 22:24:16
1,49492000,0.0056,0,2023-11-13 22:24:16
2,49491000,0.0061,0,2023-11-13 22:24:16
3,49490000,0.0049,0,2023-11-13 22:24:16
